prefix_a,prefix_b,shared_labels
20.110,20.3,20
20.110,40.75,20
20.112,20.114,20
20.112,20.165,20
20.112,20.171,20
20.114,20.25,20
20.114,40.75,20
20.115,20.165,20
20.12,52.165,20
20.163,20.94,20
20.163,4.154,20
20.165,20.64,20
20.165,4.242,20
20.168,20.64,20
20.168,52.225,20
20.169,20.245,20
20.225,20.62,20
20.225,52.242,20
20.228,20.98,20
20.230,20.88,20
20.230,74.249,20
20.237,4.154,20
20.245,20.3,20
20.245,65.52,20
20.3,4.227,20
20.3,4.255,20
20.3,64.236,20
20.57,20.69,20
20.64,20.9,20
20.65,4.227,20
20.65,40.75,20
20.65,65.52,20
20.65,74.249,20
20.66,52.162,20
20.69,52.225,20
20.80,40.75,20
20.80,65.52,20
20.9,52.225,20
20.94,4.227,20
20.94,74.249,20
20.97,52.161,20
20.98,4.227,20
23.100,52.162,20
4.151,52.159,20
4.151,52.162,20
4.154,4.227,20
4.227,52.162,20
4.227,74.249,20
4.255,52.161,20
4.255,52.225,20
52.225,57.154,20
52.251,57.154,20
64.236,65.52,20
104.209,4.255,19
104.210,20.12,19
104.42,20.83,19
104.43,20.45,19
104.43,64.236,19
128.203,20.69,19
130.131,20.66,19
132.196,20.225,19
135.119,20.12,19
135.119,20.29,19
135.232,20.88,19
157.55,20.97,19
157.55,4.255,19
172.173,23.100,19
172.184,20.163,19
172.184,20.88,19
172.184,20.94,19
172.202,20.114,19
172.202,20.12,19
172.202,20.245,19
172.202,52.159,19
172.212,20.59,19
172.212,20.83,19
20.109,20.110,19
20.110,65.52,19
20.110,74.249,19
20.112,20.225,19
20.114,20.62,19
20.12,20.62,19
20.122,20.80,19
20.122,52.159,19
20.163,20.62,19
20.168,4.242,19
20.169,20.80,19
20.169,57.154,19
20.228,20.230,19
20.228,20.97,19
20.230,23.100,19
20.230,40.75,19
20.25,20.69,19
20.29,20.64,19
20.29,52.165,19
20.65,20.96,19
20.65,52.165,19
20.66,20.83,19
20.66,74.249,19
20.80,52.242,19
20.83,4.151,19
20.98,23.100,19
23.100,52.159,19
23.102,57.154,19
4.255,52.242,19
40.75,52.159,19
40.75,64.236,19
104.209,20.168,18
104.210,135.232,18
104.210,20.230,18
104.210,20.9,18
104.210,52.159,18
104.42,20.237,18
104.42,20.66,18
104.43,20.12,18
104.43,20.80,18
104.43,20.94,18
128.203,20.225,18
132.196,20.29,18
132.196,57.154,18
135.119,20.65,18
135.119,57.154,18
135.232,20.96,18
157.55,20.225,18
157.55,57.154,18
172.184,172.212,18
172.184,4.151,18
172.184,4.227,18
172.202,20.9,18
172.212,20.122,18
172.212,20.237,18
172.212,4.151,18
172.212,4.227,18
20.109,20.65,18
20.109,20.80,18
20.110,52.161,18
20.110,52.165,18
20.112,20.29,18
20.112,57.154,18
20.114,20.122,18
20.114,20.169,18
20.114,52.161,18
20.114,52.225,18
20.114,52.242,18
20.114,65.52,18
20.12,52.242,18
20.122,20.29,18
20.125,20.165,18
20.125,20.69,18
20.163,20.228,18
20.163,20.237,18
20.163,20.59,18
20.165,52.176,18
20.168,52.251,18
20.169,20.230,18
20.169,20.29,18
20.169,20.97,18
20.171,52.251,18
20.172,20.228,18
20.172,20.62,18
20.172,52.161,18
20.225,23.102,18
20.228,20.29,18
20.228,20.9,18
20.228,4.255,18
20.237,20.59,18
20.237,20.83,18
20.237,20.88,18
20.237,23.100,18
20.237,4.151,18
20.237,52.162,18
20.245,52.161,18
20.3,52.159,18
20.45,20.88,18
20.57,20.97,18
20.59,20.66,18
20.62,20.80,18
20.62,64.236,18
20.64,20.69,18
20.64,4.255,18
20.66,23.100,18
20.69,4.150,18
20.80,20.96,18
20.9,52.161,18
20.98,4.154,18
23.100,4.151,18
4.255,52.247,18
52.159,52.225,18
52.162,52.165,18
104.209,20.110,17
104.209,20.245,17
104.209,20.45,17
104.210,20.110,17
104.210,20.172,17
104.42,172.212,17
104.42,20.59,17
104.42,4.151,17
128.203,20.165,17
130.131,23.100,17
130.131,52.225,17
130.213,20.165,17
132.196,20.80,17
135.119,20.114,17
135.119,20.230,17
135.119,20.9,17
135.232,172.202,17
135.232,20.122,17
135.232,20.228,17
135.232,40.75,17
135.232,52.161,17
135.232,52.225,17
135.234,20.69,17
172.173,20.45,17
172.184,65.52,17
172.185,20.165,17
172.202,20.110,17
172.212,20.163,17
172.212,20.3,17
172.212,40.75,17
20.109,20.225,17
20.109,20.230,17
20.109,20.245,17
20.110,20.62,17
20.115,20.225,17
20.12,20.122,17
20.12,20.88,17
20.12,40.75,17
20.122,20.230,17
20.122,64.236,17
20.125,20.97,17
20.163,20.83,17
20.163,20.88,17
20.163,4.151,17
20.163,52.165,17
20.163,74.249,17
20.165,20.57,17
20.165,23.102,17
20.165,40.65,17
20.168,20.228,17
20.168,20.25,17
20.168,52.242,17
20.169,20.65,17
20.169,64.236,17
20.171,20.57,17
20.171,4.150,17
20.171,40.65,17
20.171,52.225,17
20.172,20.88,17
20.172,20.96,17
20.172,65.52,17
20.225,20.25,17
20.225,4.150,17
20.225,52.161,17
20.228,20.245,17
20.228,20.45,17
20.228,64.236,17
20.230,20.64,17
20.245,20.62,17
20.245,52.242,17
20.25,20.29,17
20.29,65.52,17
20.3,20.65,17
20.45,40.75,17
20.59,20.83,17
20.59,20.94,17
20.59,23.100,17
20.59,4.151,17
20.62,52.159,17
20.62,52.162,17
20.66,4.151,17
20.66,4.154,17
20.69,23.102,17
20.69,52.141,17
20.69,52.247,17
20.80,20.88,17
20.80,52.161,17
20.83,23.100,17
20.88,20.98,17
20.88,4.227,17
20.88,52.162,17
20.9,4.150,17
20.94,23.100,17
20.97,23.102,17
20.98,74.249,17
23.100,4.154,17
4.151,74.249,17
4.242,57.154,17
40.75,52.162,17
52.162,65.52,17
52.165,64.236,17
104.209,135.232,16
104.209,20.165,16
104.209,20.230,16
104.209,20.9,16
104.210,20.94,16
104.42,4.154,16
104.42,74.249,16
104.43,20.172,16
128.203,20.171,16
128.203,20.9,16
13.78,20.168,16
13.78,20.69,16
130.131,172.202,16
130.131,20.169,16
130.131,20.62,16
130.131,20.88,16
130.131,65.52,16
132.196,20.12,16
132.196,52.159,16
135.119,20.172,16
135.234,20.165,16
135.234,20.168,16
157.55,20.114,16
157.55,20.172,16
157.55,64.236,16
172.173,20.94,16
172.173,4.154,16
172.184,20.112,16
172.184,20.122,16
172.184,52.161,16
172.184,52.165,16
172.184,52.251,16
172.185,20.168,16
172.185,20.9,16
172.202,20.83,16
172.202,52.162,16
172.212,23.100,16
172.212,52.242,16
172.215,20.171,16
172.215,20.9,16
172.215,57.154,16
20.109,20.29,16
20.112,20.45,16
20.112,20.94,16
20.112,20.98,16
20.112,64.236,16
20.115,20.80,16
20.12,20.228,16
20.12,20.25,16
20.12,20.3,16
20.12,20.96,16
20.122,20.163,16
20.122,20.98,16
20.125,20.168,16
20.125,20.225,16
20.163,20.96,16
20.165,52.238,16
20.165,52.251,16
20.168,4.150,16
20.168,40.65,16
20.169,20.172,16
20.169,20.237,16
20.171,40.78,16
20.171,52.141,16
20.172,52.225,16
20.225,20.57,16
20.225,20.64,16
20.230,20.62,16
20.230,52.165,16
20.237,20.66,16
20.245,52.165,16
20.245,52.225,16
20.25,20.98,16
20.29,20.57,16
20.45,52.165,16
20.45,52.242,16
20.57,20.9,16
20.57,4.255,16
20.62,23.100,16
20.65,20.88,16
20.69,4.246,16
20.83,4.227,16
20.9,23.102,16
20.9,52.242,16
20.9,52.251,16
20.94,4.151,16
20.96,52.159,16
20.97,4.246,16
20.97,52.251,16
20.98,40.75,16
23.100,4.227,16
4.151,4.154,16
4.154,52.242,16
4.255,40.70,16
52.162,52.242,16
104.209,20.114,15
104.209,20.172,15
104.209,20.225,15
104.210,172.184,15
104.210,20.237,15
104.210,20.45,15
104.210,20.66,15
104.210,4.227,15
104.42,172.202,15
104.42,20.228,15
104.42,20.62,15
104.43,20.230,15
104.43,20.237,15
104.43,20.59,15
104.43,20.65,15
104.43,23.100,15
104.43,52.159,15
128.203,20.172,15
128.203,57.154,15
13.78,20.165,15
130.131,157.55,15
130.131,40.75,15
130.131,52.161,15
130.213,20.97,15
132.196,20.172,15
132.196,64.236,15
135.119,135.232,15
135.119,20.245,15
135.119,20.66,15
135.119,20.80,15
135.119,4.154,15
135.119,64.236,15
135.232,20.125,15
135.232,20.25,15
135.232,20.62,15
135.232,52.251,15
135.234,20.80,15
135.234,20.9,15
157.55,20.29,15
172.173,172.184,15
172.173,20.59,15
172.173,74.249,15
172.184,172.202,15
172.184,20.3,15
172.184,74.249,15
172.185,20.114,15
